samples	OralSite	colors
764467579-TD	TD	#33FFFF
764467579-TH	TH	#33CCFF
764487809-BM	BM	#FF0066
764487809-HP	HP	#66FFFF
764487809-KG	KG	#99FF66
764487809-SUBP	SUBP	#CC00FF
764487809-SUPP	SUPP	#FF00FF
764487809-SV	SV	#00FFFF
764487809-TD	TD	#33FFFF
764487809-TH	TH	#33CCFF
764649650-BM	BM	#FF0066
764649650-HP	HP	#66FFFF
764649650-KG	KG	#99FF66
764649650-SUBP	SUBP	#CC00FF
764649650-SUPP	SUPP	#FF00FF
764649650-SV	SV	#00FFFF
764649650-TD	TD	#33FFFF
764649650-TH	TH	#33CCFF
764669880-BM	BM	#FF0066
764669880-HP	HP	#66FFFF
764669880-KG	KG	#99FF66
764669880-SUBP	SUBP	#CC00FF
764669880-SUPP	SUPP	#FF00FF
764669880-SV	SV	#00FFFF
764669880-TD	TD	#33FFFF
764669880-TH	TH	#33CCFF
764750800-BM	BM	#FF0066
764750800-HP	HP	#66FFFF
764750800-KG	KG	#99FF66
764750800-SUBP	SUBP	#CC00FF
764750800-SUPP	SUPP	#FF00FF
764750800-SV	SV	#00FFFF
764750800-TD	TD	#33FFFF
764750800-TH	TH	#33CCFF
764831721-BM	BM	#FF0066
764831721-HP	HP	#66FFFF
764831721-KG	KG	#99FF66
764831721-SUBP	SUBP	#CC00FF
764831721-SUPP	SUPP	#FF00FF
764831721-SV	SV	#00FFFF
764831721-TD	TD	#33FFFF
764831721-TH	TH	#33CCFF
764872181-BM	BM	#FF0066
764872181-HP	HP	#66FFFF
764872181-KG	KG	#99FF66
764872181-SUBP	SUBP	#CC00FF
764872181-SUPP	SUPP	#FF00FF
764872181-SV	SV	#00FFFF
764872181-TD	TD	#33FFFF
764872181-TH	TH	#33CCFF
764892411-BM	BM	#FF0066
764892411-HP	HP	#66FFFF
764892411-KG	KG	#99FF66
764892411-SUBP	SUBP	#CC00FF
764892411-SUPP	SUPP	#FF00FF
764892411-SV	SV	#00FFFF
764892411-TD	TD	#33FFFF
764892411-TH	TH	#33CCFF
764953101-BM	BM	#FF0066
764953101-HP	HP	#66FFFF
764953101-KG	KG	#99FF66
764953101-SUBP	SUBP	#CC00FF
764953101-SUPP	SUPP	#FF00FF
764953101-SV	SV	#00FFFF
764953101-TD	TD	#33FFFF
764953101-TH	TH	#33CCFF
765034022-BM	BM	#FF0066
765034022-HP	HP	#66FFFF
765034022-KG	KG	#99FF66
765034022-SUBP	SUBP	#CC00FF
765034022-SUPP	SUPP	#FF00FF
765034022-SV	SV	#00FFFF
765034022-TD	TD	#33FFFF
765034022-TH	TH	#33CCFF
765094712-BM	BM	#FF0066
765094712-HP	HP	#66FFFF
765094712-KG	KG	#99FF66
765094712-SUBP	SUBP	#CC00FF
765094712-SUPP	SUPP	#FF00FF
765094712-SV	SV	#00FFFF
765094712-TD	TD	#33FFFF
765094712-TH	TH	#33CCFF
765135172-BM	BM	#FF0066
765135172-HP	HP	#66FFFF
765135172-KG	KG	#99FF66
765135172-SUBP	SUBP	#CC00FF
765135172-SUPP	SUPP	#FF00FF
765135172-SV	SV	#00FFFF
765135172-TD	TD	#33FFFF
765135172-TH	TH	#33CCFF
765560005-BM	BM	#FF0066
765560005-HP	HP	#66FFFF
765560005-KG	KG	#99FF66
765560005-SUBP	SUBP	#CC00FF
765560005-SUPP	SUPP	#FF00FF
765560005-SV	SV	#00FFFF
765560005-TD	TD	#33FFFF
765560005-TH	TH	#33CCFF
809635352-BM	BM	#FF0066
809635352-HP	HP	#66FFFF
809635352-KG	KG	#99FF66
809635352-SUBP	SUBP	#CC00FF
809635352-SUPP	SUPP	#FF00FF
809635352-SV	SV	#00FFFF
809635352-TD	TD	#33FFFF
809635352-TH	TH	#33CCFF
840279516-BM	BM	#FF0066
840279516-HP	HP	#66FFFF
840279516-KG	KG	#99FF66
840279516-SUBP	SUBP	#CC00FF
840279516-SUPP	SUPP	#FF00FF
840279516-SV	SV	#00FFFF
840279516-TD	TD	#33FFFF
840279516-TH	TH	#33CCFF
861967750-BM	BM	#FF0066
861967750-HP	HP	#66FFFF
861967750-KG	KG	#99FF66
861967750-SUBP	SUBP	#CC00FF
861967750-SUPP	SUPP	#FF00FF
861967750-SV	SV	#00FFFF
861967750-TD	TD	#33FFFF
861967750-TH	TH	#33CCFF
872848689-BM	BM	#FF0066
872848689-HP	HP	#66FFFF
872848689-KG	KG	#99FF66
872848689-SUBP	SUBP	#CC00FF
872848689-SUPP	SUPP	#FF00FF
872848689-SV	SV	#00FFFF
872848689-TD	TD	#33FFFF
872848689-TH	TH	#33CCFF
892969023-BM	BM	#FF0066
892969023-HP	HP	#66FFFF
892969023-KG	KG	#99FF66
892969023-SUBP	SUBP	#CC00FF
892969023-SUPP	SUPP	#FF00FF
892969023-SV	SV	#00FFFF
892969023-TD	TD	#33FFFF
892969023-TH	TH	#33CCFF
937415040-BM	BM	#FF0066
937415040-HP	HP	#66FFFF
937415040-KG	KG	#99FF66
937415040-SUBP	SUBP	#CC00FF
937415040-SUPP	SUPP	#FF00FF
937415040-SV	SV	#00FFFF
937415040-TD	TD	#33FFFF
937415040-TH	TH	#33CCFF
970836795-BM	BM	#FF0066
970836795-HP	HP	#66FFFF
970836795-KG	KG	#99FF66
970836795-SUBP	SUBP	#CC00FF
970836795-SUPP	SUPP	#FF00FF
970836795-SV	SV	#00FFFF
970836795-TD	TD	#33FFFF
970836795-TH	TH	#33CCFF
763880905-PT	PT	#00CCFF
612472597-ST	ST	#000000
764669880-ST	ST	#000000
160845950-ST	ST	#000000
158337416-PT	PT	#00CCFF
159207311-ST	ST	#000000
161331472-ST	ST	#000000
161412393-ST	ST	#000000
160542498-ST	ST	#000000
158114885-PT	PT	#00CCFF
650853796-ST	ST	#000000
159713063-PT	PT	#00CCFF
872848689-PT	PT	#00CCFF
763759525-ST	ST	#000000
158357646-ST	ST	#000000
404239096-ST	ST	#000000
159005010-PT	PT	#00CCFF
159551223-PT	PT	#00CCFF
